function,n,nrep,time_sec_py,time_sec_st,speedup
transform_nn,100,0,0.0008232998661696911,0.959,1164.8246761676742
transform_iso,100,0,0.0010353997349739075,0.013,12.55553730688139
transform_lbmgls,100,0,0.004404100123792887,0.228,51.76994019010687
transform_nn,300,0,0.006815000437200069,0.038,5.575935078826236
transform_iso,300,0,0.007048099767416716,0.047,6.6684640613744515
transform_lbmgls,300,0,0.03420270001515746,0.098,2.8652708691585684
transform_nn,1000,0,0.08121070032939315,0.323,3.9773083927352166
transform_iso,1000,0,0.07892140001058578,0.349,4.422121249156608
transform_lbmgls,1000,0,2.789466999936849,1.306,0.4681898011446512
transform_nn,3000,0,1.4829769004136324,5.218,3.5185982995045935
transform_iso,3000,0,1.5172963999211788,1.137,0.7493591891861507
transform_lbmgls,3000,0,16.562915999908,6.687,0.4037332556680927
spurtest_i1,30,10000,0.027774900197982788,0.359,12.925338972993794
spurtest_i0,30,10000,0.0931724002584815,0.247,2.6509996449030573
spurtest_i1,30,50000,0.13124849973246455,1.132,8.624860492176717
spurtest_i0,30,50000,0.43072850024327636,3.555,8.253458960788823
spurtest_i1,100,10000,0.03907989989966154,0.191,4.88742295887135
spurtest_i0,100,10000,0.1292301001958549,0.875,6.770868386497358
spurtest_i1,100,50000,0.148477700073272,0.713,4.802067917593975
spurtest_i0,100,50000,0.4450094997882843,3.081,6.923447704972147
spurtest_i1,300,10000,0.06712919985875487,0.343,5.1095499532498385
spurtest_i0,300,10000,0.2753690998069942,1.908,6.928882003599221
spurtest_i1,300,50000,0.1531640002503991,0.703,4.589851393608845
spurtest_i0,300,50000,0.6865325998514891,4.021,5.856968774490569
spurhalflife,30,10000,25.367981299757957,19.333,0.7621024224022295
spurhalflife,30,50000,100.58712489996105,170.11,1.6911707156277003
spurhalflife,100,10000,24.34068420017138,33.928,1.3938802919829638
spurhalflife,100,50000,63.05537089984864,129.867,2.0595707890810573
spurhalflife,300,10000,19.098301200196147,30.624,1.6034934038890054
spurhalflife,300,50000,64.23448410024866,112.428,1.7502748184999397
